car_id,car_make,car_model,car_year,car_mileage,car_price,car_transmission,car_driveTrain,car_vendor,car_location,car_engine
73709568,Jeep,Liberty-Sport,2012,75973,14495,4-Speed Automatic,4WD,Lewisburg, PA 17837,3.7 6 Cylinder Sequential-Port F.I.
73454050,Cadillac,CTS-V,2014,12191,52899,Manual,RWD,Venice, FL 34293,6.20L V8
73822557,Infiniti,Q50-Premium,2014,16125,28574,A,RWD,Stuart, FL 34997,3.70L V6
73670353,Hyundai,Genesis-38l,2012,47471,19999,A,RWD,Conshocken, PA 19428,3.80L V6
72451036,Hyundai,Santa-FE-GLS,2013,65324,16990,A,AWD,Downingtown, PA 19335,3.30L V6
69743375,Ford,Explorer-Platinum,2017,5309,49323,Shiftable Automatic,AWD,Stuart, FL 34997,3.5 6 Cylinder Twin Turbo
72798047,Ford,Edge-SEL,2015,19055,24398,Automatic,AWD,Chantilly, VA 20151,2.0 4 Cylinder Turbocharged
73657636,Honda,CR-V-EX,2015,35011,16999,VARIABLE,FWD,Lake Worth, FL 33461,2.4 L
73786250,Chevrolet,Corvette-Stingray-Z51,2014,3043,54990,Manual,RWD,Sarasota, FL 34233,6.2l V8
73391981,Chrysler,300-S,2016,14318,25396,A,AWD,Souderton, PA 18964,3.60L V6
72815970,Audi,A4-20T-ultra-Premium,2017,4903,33995,Dual Shift Gearbox,FWD,West Palm Beach, FL 33409,2.0 4 Cylinder Turbocharged
73702452,Honda,Civic-EX-L,2015,20160,18781,Variable,FWD,Harrisburg, PA 17111,1.8 L
73621011,Chevrolet,Equinox-LT,2012,80880,13995,Automatic,AWD,Schuylkill Haven, PA 17972,2.4
18962604,Audi,A4-20T-Quattro-Premium,2009,36020,16999,Automatic,AWD,Lake Worth, FL 33461,2.0L
73343495,Ford,Explorer-Limited,2016,43353,27800,Automatic,4WD,Ephrata, PA 17522,6 Cylinder 3.5L
73641005,Jeep,Cherokee-Latitude,2014,-1,16995,A,FWD,Fort Myers, FL 33966,3.20L V6
72125216,Jeep,Wrangler-X,2009,29238,18995,6-Speed Manual,4WD,Pottsville, PA 17901,3.8 6 Cylinder Sequential Multiport Fuel Injection
70388149,Land Rover,Discovery-Sport-HSE-LUX,2016,7555,45999,AUTOMATIC,AWD,Sarasota, FL 34233,2.0l L4 Dohc 16V
71000458,GMC,Terrain-SLE-2,2013,19364,19983,Shiftable Automatic,AWD,Jenkintown, PA 19046,2.4 4 Cylinder Direct Injection
73752177,Nissan,Maxima-35-SV,2010,63445,12790,CVT,FWD,Fairless Hills, PA 19030,3.5 6 Cylinder Sequential-Port F.I.
73242283,Jeep,Grand-Cherokee-Limited,2016,35788,24999,AUTOMATIC,RWD,Lake Worth, FL 33461,3.6 L
73550351,Honda,CR-V-EX-L,2016,32281,22984,Continuously Variable Trans,FWD,Woodbridge, VA 22191,4
73597059,Ford,Mustang-EcoBoost-Premium,2017,2347,23999,AUTOMATIC,RWD,Lake Worth, FL 33461,2.3 L
73371856,Kia,Sorento-LX,2011,51912,14102,Shiftable Automatic,AWD,Parkesburg, PA 19365,2.4 4 Cylinder Fuel Injected
71375098,Toyota,Camry-XLE-V6,2012,45566,14998,6-Speed Shiftable Automatic,FWD,Turnersville, NJ 08012,3.5 6 Cylinder Fuel Injected
73018517,BMW,X3-Xdrive-28I,2013,13796,29998,A,AWD,Gaithersburg, MD 20877,2.00L I4
73504610,Audi,Q5-20T-Quattro-Premium,2014,19106,30998,A,AWD,King Of Prussia, PA 19406,2.00L I4
73640766,Jaguar,XF-30,2014,17716,31998,A,AWD,Newark, DE 19711,3.00L V6
72490192,Nissan,Rogue-SV,2014,43905,18412,CVT,AWD,Turnersville, NJ 08012,2.5 4 Cylinder Fuel Injected
72850412,Chevrolet,Malibu-LT,2014,25997,11499,AUTOMATIC,FWD,Lake Worth, FL 33461,2.5L
73560251,Chevrolet,Malibu-LS,2011,87064,8995,Shiftable Automatic,FWD,Manheim, PA 17545,2.4 4 Cylinder Sequential-Port F.I.
72630823,Mitsubishi,Lancer-ES,2013,85791,8099,CVT,FWD,Turnersville, NJ 08012,2.0 4 Cylinder Fuel Injected
73439887,Honda,Accord-LX,2012,122306,8949,5-Speed Automatic,FWD,Annandale, VA 22003,2.4 4 Cylinder Sequential-Port F.I.
73601151,Acura,TL-Tech,2014,19507,24490,6-Speed Shiftable Automatic,FWD,Turnersville, NJ 08012,3.5 6 Cylinder Fuel Injected
71887774,Dodge,Charger-SXT,2016,25005,18100,Automatic,RWD,Lake Park, FL 33403,3.6 6 Cylinder Fuel Injected
73617405,Hyundai,Elantra-SE,2015,47728,11999,AUTOMATIC,FWD,Lake Worth, FL 33461,1.8 L
73135131,Buick,Enclave-Convenience,2014,37558,23998,A,FWD,Newark, DE 19711,3.60L V6
72419894,Ram,2500-Tradesman,2016,26327,33744,Automatic,4WD,Silver Spring, MD 20904,6.4 8 Cylinder Fuel Injected
73729257,Honda,Odyssey-EX,2007,82238,11995,5-Speed Automatic,FWD,Dillsburg, PA 17019,3.5 liter V6
72939350,Dodge,Grand-Caravan-SXT,2008,116585,6999,Automatic,FWD,North Palm Beach, FL 33408,3.8l V6 OHV 12V
73069500,Ford,Escape-SE,2014,19581,18998,6-Speed Automatic,AWD,Cherry Hill, NJ 08034,EcoBoost 1.6L I4 GTDi DOHC Turbocharged VCT
72585362,Honda,Accord-EX-L-V-6,2014,42703,18498,6-Speed Shiftable Automatic,FWD,Turnersville, NJ 08012,3.5 6 Cylinder Fuel Injected
73315349,Subaru,Legacy-25I-Premium,2017,3150,22858,Automatic,AWD,East Petersburg, PA 17520,2.50L H4
72998206,Ford,Fusion-Titanium,2016,37234,18599,A,FWD,Fort Myers, FL 33966,2.00L I4
72878908,Honda,Accord-EX-L-V-6,2012,45789,17599,A,FWD,Fort Myers, FL 33966,3.50L V6
73702917,Chevrolet,Equinox-LT,2011,71688,12999,A,AWD,East Petersburg, PA 17520,2.40L I4
73725943,Infiniti,G37-Coupe-x,2011,74045,17998,A,AWD,Boynton Beach, FL 33426,3.70L V6
72961669,Dodge,Challenger-SXT,2016,28535,21844,Automatic,RWD,Silver Spring, MD 20904,3.6 6 Cylinder Fuel Injected
