site,car_id,car_descrip,car_make,car_model,car_trim,car_year,car_category,car_mileage,car_price,car_extColor,car_transmission,car_driveTrain,car_vendor,car_location,car_detail_link,car_img_link
carsDotCom,703835835,Used 2008 Acura TL 3.2,Acura,TL,3.2,2008,Used,1,5900,,,,david (Private Seller),Washington, DC,https://www.cars.com/vehicledetail/detail/703835835/overview/,https://www.cstatic-images.com/phototab/SIY/42/11872142.1496687763095.CB10FC1BD1D2464FA04D4BBD624BBC1E.JPG
carsDotCom,703747782,Used 2004 Honda Odyssey EX,Honda,Odyssey,EX,2004,Used,122,4900,,,,davide (Private Seller),Washington, DC,https://www.cars.com/vehicledetail/detail/703747782/overview/,https://www.cstatic-images.com/phototab/SIY/18/11870118.1496512056053.BC8202E676A24F1B9C79A40F171BC961.JPG
carsDotCom,703476319,Used 2016 Subaru WRX Base,Subaru,WRX,Base,2016,Used,36500,21000,,,,Nathan (Private Seller),Washington, DC,https://www.cars.com/vehicledetail/detail/703476319/overview/,https://www.cstatic-images.com/phototab/SIY/6/11833906.1493676531438.530CE79795BB4C58908BFE80FF8376C6.jpg
carsDotCom,703838121,Used 2005 Toyota Camry LE,Toyota,Camry,LE,2005,Used,53000,6500,,,,david (Private Seller),Washington, DC,https://www.cars.com/vehicledetail/detail/703838121/overview/,https://www.cstatic-images.com/phototab/SIY/90/11872190.1496762438878.C33CA2C62C5B4193A94CAB6FC96A3A4E.JPG
carsDotCom,702961539,Used 2006 Honda CR-V LX,Honda,CR-V,LX,2006,Used,84000,6100,,,,david (Private Seller),Washington, DC,https://www.cars.com/vehicledetail/detail/702961539/overview/,https://www.cstatic-images.com/phototab/SIY/26/11861326.1495822337922.5316B4D4BE7A4A27B654A6FAE92F0E9C.jpg
carsDotCom,693480892,Used 2007 Ford F-150 XLT SuperCab,Ford,F-150,XLT SuperCab,2007,Used,85500,10500,,,,Alvin (Private Seller),Washington, DC,https://www.cars.com/vehicledetail/detail/693480892/overview/,https://www.cstatic-images.com/phototab/SIY/39/11750939.1486814615672.E5C6B18277EB4DCD8560D639929A360B.JPG
carsDotCom,703835807,Used 2005 Toyota Prius,Toyota,Prius,null,2005,Used,90000,5000,,,,davild (Private Seller),Washington, DC,https://www.cars.com/vehicledetail/detail/703835807/overview/,https://www.cstatic-images.com/phototab/SIY/87/11872087.1496688592802.CEE660ED47134185B4EB6879E271AEE4.JPG
carsDotCom,703829249,Used 2005 Jeep Liberty Limited,Jeep,Liberty,Limited,2005,Used,94000,5900,,,,david (Private Seller),Washington, DC,https://www.cars.com/vehicledetail/detail/703829249/overview/,https://www.cstatic-images.com/phototab/SIY/18/11871918.1496715078279.062D06C8E6394C449CFDAE6D71BBCB30.JPG
carsDotCom,705238978,Used 2010 Honda Civic EX,Honda,Civic,EX,2010,Used,94365,7250,,,,Dave (Private Seller),Washington, DC,https://www.cars.com/vehicledetail/detail/705238978/overview/,https://www.cstatic-images.com/phototab/SIY/57/11889357.1497971911217.C4A2BBCA9607465AA2B0FAA79D45F6CD.jpg
carsDotCom,703838496,Used 2007 Honda Accord EX,Honda,Accord,EX,2007,Used,110000,5700,,,,david (Private Seller),Washington, DC,https://www.cars.com/vehicledetail/detail/703838496/overview/,https://www.cstatic-graphics.com/search/images/ghostVehicleLarge.jpg
carsDotCom,703592389,Used 2006 Nissan Quest 3.5 SL,Nissan,Quest,3.5 SL,2006,Used,122000,5600,,,,david (Private Seller),Washington, DC,https://www.cars.com/vehicledetail/detail/703592389/overview/,https://www.cstatic-images.com/phototab/SIY/50/11868850.1496499290816.DE03603762E04A0FB560B4640A95EDFA.JPG
carsDotCom,703747929,Used 2007 Honda Accord LX,Honda,Accord,LX,2007,Used,127000,5900,,,,david (Private Seller),Washington, DC,https://www.cars.com/vehicledetail/detail/703747929/overview/,https://www.cstatic-images.com/phototab/SIY/72/11870172.1496513226814.93809E32D4C644E881BB750C0A1D5FB4.JPG
carsDotCom,703506569,Used 2006 Acura TL,Acura,TL,null,2006,Used,135000,6200,,,,david (Private Seller),Washington, DC,https://www.cars.com/vehicledetail/detail/703506569/overview/,https://www.cstatic-images.com/phototab/SIY/40/11868040.1496355772640.6420527C349045F6B289C7E8C54444D5.JPG
